Transaction ID,Items
1000,"Hoodie,Umbrella,Printer,Kettle,Mobile,Pen,Pencil,Sunglass,Knife,Lotion"
1001,"Soap,Oven,Printer,Headphone,Laptop,Shampoo,Lotion"
1002,"Watch,Shampoo,Hoodie,Laptop,Pan,Lotion,Pants,Umbrella"
1003,"Umbrella,Blender,Kettle,Watch,Wallet,Printer,Pen,Knife"
1004,"Jackets,Marker,Blender,Knife,Soap,Sock,Hoodie,Pants,Mobile,Laptop"
1005,"Mobile,Sunglass,Umbrella,Kettle,Knife,Laptop,Scanner,Sock,Jackets,Pants"
1006,"Shampoo,Deodorant,Blender,Eraser,Oven,Headphone,Hoodie,Watch,Tissue,Razor,Lotion"
1007,"Soap,Jeans,Oven,Marker,Lotion,Sock,Shampoo,Jackets,Headphone,Eraser,Tissue,Pencil"
1008,"Lotion,Razor,Kettle,Blender,Marker,Pen,Mobile,Sock,Printer,Shampoo,Jeans"
1009,"Soap,Printer,Lotion,Eraser,Pen,Scanner,Mobile,Kettle,Pan,Headphone,Shampoo"
1010,"Kettle,Mobile,Pencil,Eraser,Umbrella,Razor,Calculator,Knife,Printer,Jeans,Pen,Headphone"
1011,"Calculator,Jackets,Knife,Razor,Laptop,Pan,Kettle,Sunglass,Headphone,Deodorant"
1012,"Wallet,Mobile,Printer,Sock,Hoodie,Jackets,Blender,Marker"
1013,"Lotion,Laptop,Watch,Mobile,Wallet,Jackets,Pencil,Soap,Sunglass,Knife,Marker"
1014,"Pencil,Laptop,Kettle,Jackets,Eraser,Jeans"
1015,"Sunglass,Pencil,Laptop,Hoodie,Knife,Tissue,Mobile,Headphone,Scanner"
1016,"Tissue,Sunglass,Pan,Marker,Razor,Watch,Kettle,Jeans,Printer"
1017,"Printer,Scanner,Wallet,Jeans,Jackets,Soap,Watch,Pen,Calculator,Deodorant"
1018,"Pan,Calculator,Shampoo,Tissue,Printer,Wallet,Oven,Laptop,Pencil"
1019,"Printer,Headphone,Jeans,Razor,Marker,Pants,Scanner"
